sira_no,ihrac_kodu,lidas_unvani,il,ilce_lokasyon
179,XEC,KFM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,İSTANBUL,MERKEZ
180,XJN,KILIÇLAR LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,MERKEZ
181,XOU,KIZILKAYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,ŞANLIURFA,EYYÜBİYE
182,KTP,KIZILTEPE AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,MARDİN,MERKEZ
183,XHD,KOÇAKER LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
184,XJE,KONYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,CİHANBEYLİ
185,KLD,KONYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,KONYA,MERKEZ
186,XOD,KONYA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş. ,AFYONKARAHİSAR,EMİRDAĞ
187,KOA,KÖSEOĞLU AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,ADANA,YÜREĞİR 
188,XLH,KULU AK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KULU
189,XIB,KULUSAN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KULU
190,XEJ,KUŞAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KAYSERİ,MERKEZ
191,XGF,KÜÇÜKER İNÇLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,AKSARAY,MERKEZ
192,XLJ,KÜÇÜKER İNÇLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,KARATAY
193,XGZ,LARENDE TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KARAMAN,MERKEZ
194,XFE,LDR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,KONYA,MERKEZ
195,XFG,LDR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KONYA,"MERKEZ, İSMİL"
196,XHS,LİKYA LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.,GAZİANTEP,MERKEZ
197,LTD,LÜLEBURGAZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş. ,KIRKLARELİ,MERKEZ
