urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"MISIR 1.SINIF","TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KHANI,12275,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,55,164,166,330,1868,1538
"MISIR 2.SINIF","AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,12200,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,139,164,422,586,2119,1533
"MISIR 2.SINIF","KARAMAN TİCARET BORSASI TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/MERKEZ,12282,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,112,164,341,504,2036,1532
"MISIR 2.SINIF","AŞIROĞULLARI LİDAŞ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/CBEYLİ,12200,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/ÇUMRA,14055,55,164,166,330,1855,1525
"BUĞDAY MAKARNALIK 3.SINIF","GAP ŞANLIURFA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA/EYYÜBİYE,14612,"MARDİN ÖZLER TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ŞANLIURFA/VŞEHİR,16395,34,164,102,266,1783,1517
"MISIR 2.SINIF","SAVRANLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/ESKİL,12200,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/YUNAK,14391,169,164,512,676,2191,1515
"MISIR 1.SINIF","TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,0,164,0,164,1668,1504
"MISIR 1.SINIF","YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,0,164,0,164,1668,1504
"MISIR 1.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,0,164,0,164,1668,1504
"MISIR 2.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12230,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,139,164,422,586,2089,1503
